Sample ID,BeadChip Barcode,Sentrix Position,Plate Number,Well Position,Collected Gender
7804487,206680900006,R04C01,Plate_11,D05,Male
7804834,206680900006,R05C01,Plate_11,E05,Male
7830482,206680900006,R06C01,Plate_11,F05,Male
7844640,206680900006,R07C01,Plate_11,G05,Male
7845159,206680900006,R08C01,Plate_11,H05,Male
7845183,206680900018,R01C01,Plate_11,A06,Female
7847403,206680900018,R02C01,Plate_11,B06,Male
7847437,206680900018,R03C01,Plate_11,C06,Male
7847460,206680900018,R04C01,Plate_11,D06,Male
7804511,206680900018,R05C01,Plate_11,E06,Female
7804545,206680900018,R06C01,Plate_11,F06,Female
7804578,206680900018,R07C01,Plate_11,G06,Female
7845225,206680900018,R08C01,Plate_11,H06,Male
7845258,206680900019,R01C01,Plate_11,A07,Male
7845282,206680900019,R02C01,Plate_11,B07,Male
7846595,206680900019,R03C01,Plate_11,C07,Male
7846629,206680900019,R04C01,Plate_11,D07,Male
7846652,206680900019,R05C01,Plate_11,E07,Female
7846686,206680900019,R06C01,Plate_11,F07,Male
7847502,206680900019,R07C01,Plate_11,G07,Male
7847536,206680900019,R08C01,Plate_11,H07,Male
7804602,206680900023,R01C01,Plate_11,A08,Male
7804636,206680900023,R02C01,Plate_11,B08,Female
7804669,206680900023,R03C01,Plate_11,C08,Male
7804693,206680900023,R04C01,Plate_11,D08,Male
7804727,206680900023,R05C01,Plate_11,E08,Male
7815392,206680900023,R06C01,Plate_11,F08,Male
7815426,206680900023,R07C01,Plate_11,G08,Female
7815459,206680900023,R08C01,Plate_11,H08,Male
7815483,206680900034,R01C01,Plate_11,A09,Male
7845316,206680900034,R02C01,Plate_11,B09,Male
7845340,206680900034,R03C01,Plate_11,C09,Male
7845373,206680900034,R04C01,Plate_11,D09,Female
7845886,206680900034,R05C01,Plate_11,E09,Male
7845910,206680900034,R06C01,Plate_11,F09,Male
7804750,206680900034,R07C01,Plate_11,G09,Female
7804784,206680900034,R08C01,Plate_11,H09,Male
7804818,206680900035,R01C01,Plate_11,A10,Female
7814916,206680900035,R02C01,Plate_11,B10,Male
7815517,206680900035,R03C01,Plate_11,C10,Female
7815889,206680900035,R04C01,Plate_11,D10,Male
7815913,206680900035,R05C01,Plate_11,E10,Male
7815947,206680900035,R06C01,Plate_11,F10,Male
7815970,206680900035,R07C01,Plate_11,G10,Male
7845944,206680900035,R08C01,Plate_11,H10,Male
7845977,206680900036,R01C01,Plate_11,A11,Male
7846710,206680900036,R02C01,Plate_11,B11,Male
7846744,206680900036,R03C01,Plate_11,C11,Male
7846777,206680900036,R04C01,Plate_11,D11,Female
7846801,206680900036,R05C01,Plate_11,E11,Male
7815541,206680900036,R06C01,Plate_11,F11,Male
7815574,206680900036,R07C01,Plate_11,G11,Male
7815608,206680900036,R08C01,Plate_11,H11,Male
7816002,206680900037,R01C01,Plate_11,A12,Male
7816036,206680900037,R02C01,Plate_11,B12,Male
7816069,206680900037,R03C01,Plate_11,C12,Male
7816119,206680900037,R04C01,Plate_11,D12,Male
7816143,206680900037,R05C01,Plate_11,E12,Male
7816176,206680900037,R06C01,Plate_11,F12,Male
